 avg Loss: 0.8363, avg cls Loss: 0.5106, avg bbox Loss: 0.3257
 avg Loss: 0.8308, avg cls Loss: 0.5055, avg bbox Loss: 0.3253
 avg Loss: 0.8545, avg cls Loss: 0.5290, avg bbox Loss: 0.3255
 avg Loss: 0.8306, avg cls Loss: 0.5048, avg bbox Loss: 0.3257
 avg Loss: 0.6298, avg cls Loss: 0.3282, avg bbox Loss: 0.3016
 avg Loss: 0.5765, avg cls Loss: 0.2886, avg bbox Loss: 0.2879
 avg Loss: 0.5368, avg cls Loss: 0.2626, avg bbox Loss: 0.2742
 avg Loss: 0.5018, avg cls Loss: 0.2384, avg bbox Loss: 0.2634
 avg Loss: 0.4930, avg cls Loss: 0.2370, avg bbox Loss: 0.2561
 avg Loss: 0.4655, avg cls Loss: 0.2133, avg bbox Loss: 0.2522
 avg Loss: 0.4545, avg cls Loss: 0.2093, avg bbox Loss: 0.2452
 avg Loss: 0.4392, avg cls Loss: 0.1975, avg bbox Loss: 0.2417
 avg Loss: 0.4296, avg cls Loss: 0.1925, avg bbox Loss: 0.2372
 avg Loss: 0.4191, avg cls Loss: 0.1840, avg bbox Loss: 0.2351
 avg Loss: 0.4134, avg cls Loss: 0.1815, avg bbox Loss: 0.2319
 avg Loss: 0.4144, avg cls Loss: 0.1842, avg bbox Loss: 0.2302
 avg Loss: 0.4007, avg cls Loss: 0.1734, avg bbox Loss: 0.2273
 avg Loss: 0.3961, avg cls Loss: 0.1701, avg bbox Loss: 0.2260
 avg Loss: 0.3938, avg cls Loss: 0.1700, avg bbox Loss: 0.2238
 avg Loss: 0.3887, avg cls Loss: 0.1649, avg bbox Loss: 0.2238
 avg Loss: 0.3758, avg cls Loss: 0.1560, avg bbox Loss: 0.2197
 avg Loss: 0.3742, avg cls Loss: 0.1554, avg bbox Loss: 0.2188
 avg Loss: 0.3730, avg cls Loss: 0.1541, avg bbox Loss: 0.2189
 avg Loss: 0.3710, avg cls Loss: 0.1524, avg bbox Loss: 0.2186
 avg Loss: 0.3664, avg cls Loss: 0.1513, avg bbox Loss: 0.2152
 avg Loss: 0.3618, avg cls Loss: 0.1476, avg bbox Loss: 0.2142
 avg Loss: 0.3561, avg cls Loss: 0.1428, avg bbox Loss: 0.2133
 avg Loss: 0.3657, avg cls Loss: 0.1515, avg bbox Loss: 0.2142
 avg Loss: 0.3540, avg cls Loss: 0.1403, avg bbox Loss: 0.2137
 avg Loss: 0.3483, avg cls Loss: 0.1364, avg bbox Loss: 0.2119
 avg Loss: 0.3483, avg cls Loss: 0.1388, avg bbox Loss: 0.2095
 avg Loss: 0.3430, avg cls Loss: 0.1345, avg bbox Loss: 0.2084
 avg Loss: 0.3437, avg cls Loss: 0.1354, avg bbox Loss: 0.2083
 avg Loss: 0.3360, avg cls Loss: 0.1314, avg bbox Loss: 0.2047
 avg Loss: 0.3369, avg cls Loss: 0.1313, avg bbox Loss: 0.2057
