                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5552,                 3.9235,                 1.9176,                0.18034,                0.25695,                0.13741,                0.05897,                 1.9017,                 3.4315,                 1.4113,               0.070093,               0.003323,               0.003323
                      2,                 1.8147,                 1.6892,                 1.3034,                0.43288,                0.46716,                0.40374,                0.20639,                  1.679,                 1.5946,                 1.2669,               0.040092,              0.0066547,              0.0066547
                      3,                 1.6746,                 1.4911,                  1.251,                0.47458,                0.48906,                 0.4041,                0.22777,                 1.4506,                 1.6421,                 1.1493,               0.010083,              0.0099798,              0.0099798
                      4,                 1.5756,                 1.3977,                    1.2,                0.58021,                0.48571,                 0.4915,                0.25268,                 1.5833,                 1.3561,                 1.1764,              0.0099778,              0.0099778,              0.0099778
                      5,                 1.5471,                 1.3095,                 1.1853,                0.63031,                0.50877,                0.52656,                 0.2973,                 1.4177,                 1.1814,                 1.1102,              0.0099606,              0.0099606,              0.0099606
                      6,                 1.5037,                 1.2333,                  1.175,                0.61002,                  0.499,                0.47304,                0.24241,                 1.5769,                 1.4874,                 1.2017,              0.0099384,              0.0099384,              0.0099384
                      7,                 1.4852,                 1.2055,                 1.1543,                0.67845,                0.55264,                0.56969,                0.34738,                 1.3346,                 1.0845,                 1.0975,              0.0099114,              0.0099114,              0.0099114
                      8,                  1.471,                 1.1792,                 1.1408,                0.68152,                0.55928,                0.57508,                0.30362,                 1.5421,                 1.0773,                   1.15,              0.0098796,              0.0098796,              0.0098796
                      9,                 1.4555,                 1.1542,                 1.1542,                0.71398,                0.56087,                0.59951,                0.36287,                  1.315,                0.99263,                 1.0857,              0.0098429,              0.0098429,              0.0098429
                     10,                  1.419,                 1.1034,                 1.1358,                0.66089,                0.57019,                0.58463,                0.32647,                 1.4997,                 1.0814,                 1.1624,              0.0098015,              0.0098015,              0.0098015
                     11,                 1.4166,                 1.1112,                 1.1358,                0.68103,                0.54758,                0.58235,                0.34511,                 1.3447,                 1.0188,                 1.1002,              0.0097553,              0.0097553,              0.0097553
                     12,                 1.4009,                 1.0832,                 1.1238,                0.69399,                0.57014,                0.59008,                0.35035,                  1.306,                  1.018,                 1.0762,              0.0097044,              0.0097044,              0.0097044
                     13,                 1.3883,                 1.0607,                 1.1285,                 0.7044,                0.59342,                0.62341,                0.36501,                 1.3888,                0.98891,                 1.1176,              0.0096489,              0.0096489,              0.0096489
                     14,                 1.3674,                 1.0328,                 1.1259,                0.70457,                0.60206,                0.63089,                0.37389,                  1.334,                0.97665,                 1.1077,              0.0095888,              0.0095888,              0.0095888
                     15,                 1.3672,                 1.0377,                 1.1269,                0.73402,                 0.5974,                0.64593,                0.39256,                 1.3148,                0.91414,                 1.0801,              0.0095241,              0.0095241,              0.0095241
                     16,                 1.3739,                 1.0229,                  1.119,                0.74328,                0.59582,                0.63147,                0.38912,                  1.269,                0.92653,                 1.0996,               0.009455,               0.009455,               0.009455
                     17,                 1.3659,                  1.011,                 1.1293,                 0.7544,                0.60321,                0.64562,                0.40182,                 1.2918,                0.91402,                 1.0988,              0.0093815,              0.0093815,              0.0093815
                     18,                 1.3557,                 1.0013,                 1.1233,                0.75944,                0.60084,                  0.653,                0.39026,                 1.3587,                0.93583,                 1.1106,              0.0093037,              0.0093037,              0.0093037
                     19,                 1.3529,                0.99206,                 1.1219,                0.77555,                0.60318,                0.65557,                 0.3843,                 1.3079,                 0.9171,                 1.0956,              0.0092216,              0.0092216,              0.0092216
                     20,                 1.3509,                0.96402,                 1.1222,                0.77401,                0.61172,                0.66769,                0.40181,                 1.2604,                0.85496,                 1.0767,              0.0091354,              0.0091354,              0.0091354
                     21,                  1.338,                 0.9605,                 1.1086,                0.78523,                0.59493,                 0.6629,                0.39713,                 1.3021,                0.92916,                 1.0795,              0.0090451,              0.0090451,              0.0090451
                     22,                 1.3321,                0.95391,                 1.1129,                0.79366,                0.61408,                0.68559,                0.43553,                 1.2237,                0.82274,                 1.0652,              0.0089508,              0.0089508,              0.0089508
                     23,                 1.3321,                0.94373,                 1.1083,                0.77986,                0.62296,                0.68355,                0.42026,                 1.2457,                0.82609,                 1.0736,              0.0088526,              0.0088526,              0.0088526
                     24,                 1.3235,                0.93765,                 1.1077,                0.78821,                0.61606,                0.68073,                0.42717,                 1.2549,                0.81739,                 1.0793,              0.0087506,              0.0087506,              0.0087506
                     25,                 1.3274,                0.93569,                 1.1059,                0.80486,                0.61645,                0.68583,                0.43062,                 1.2503,                0.82001,                 1.0714,              0.0086449,              0.0086449,              0.0086449
                     26,                 1.3069,                0.91632,                  1.103,                0.78022,                0.61653,                 0.6823,                0.41808,                 1.2556,                0.85749,                 1.0772,              0.0085355,              0.0085355,              0.0085355
                     27,                 1.2815,                0.89028,                 1.0989,                0.82181,                0.61397,                0.69809,                0.43192,                 1.2749,                0.80775,                 1.0759,              0.0084228,              0.0084228,              0.0084228
                     28,                 1.3059,                 0.9068,                 1.1051,                 0.8106,                0.61228,                0.68401,                0.42356,                 1.2706,                0.80374,                 1.0698,              0.0083066,              0.0083066,              0.0083066
                     29,                 1.3065,                0.88593,                  1.101,                0.81338,                0.62969,                 0.7054,                0.44085,                 1.2168,                0.78123,                 1.0606,              0.0081871,              0.0081871,              0.0081871
                     30,                 1.3117,                0.87833,                 1.1057,                0.84846,                0.63638,                0.72053,                0.45867,                 1.2314,                0.75132,                 1.0569,              0.0080646,              0.0080646,              0.0080646
