                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5633,                 3.7481,                 1.8956,                0.20566,                0.34442,                0.20553,                0.08383,                 2.2981,                 2.9849,                 1.5669,               0.070093,               0.003323,               0.003323
                      2,                  1.816,                  1.701,                 1.3312,                0.51681,                0.41932,                0.41768,                0.16283,                 2.2292,                 2.2204,                 1.3751,               0.040092,              0.0066547,              0.0066547
                      3,                 1.6575,                 1.5057,                 1.2773,                0.51213,                0.46681,                0.43604,                0.19075,                 1.9896,                 2.1525,                 1.2943,               0.010083,              0.0099798,              0.0099798
                      4,                 1.5949,                 1.4038,                 1.2415,                0.59036,                0.49022,                0.50747,                0.21636,                 1.9674,                  1.893,                 1.2961,              0.0099778,              0.0099778,              0.0099778
                      5,                 1.5511,                 1.3091,                  1.234,                0.59304,                 0.5807,                0.56034,                0.23164,                 2.0532,                   1.46,                 1.3387,              0.0099606,              0.0099606,              0.0099606
                      6,                 1.4952,                 1.2422,                 1.1982,                0.59905,                0.59439,                0.57057,                0.22168,                 2.1066,                 1.5396,                 1.3825,              0.0099384,              0.0099384,              0.0099384
                      7,                  1.488,                 1.1887,                 1.1914,                 0.5669,                0.61471,                0.58501,                0.23226,                 2.0725,                 1.3868,                 1.3354,              0.0099114,              0.0099114,              0.0099114
                      8,                 1.4814,                 1.1826,                 1.1766,                0.62681,                0.60276,                0.59255,                0.23928,                 2.0821,                 1.3382,                 1.3402,              0.0098796,              0.0098796,              0.0098796
                      9,                 1.4505,                 1.1261,                 1.1741,                0.65284,                 0.6052,                0.62455,                0.25495,                  2.041,                 1.3283,                 1.2957,              0.0098429,              0.0098429,              0.0098429
                     10,                 1.4183,                 1.0939,                 1.1617,                0.70635,                0.67122,                0.67347,                0.28443,                 1.9708,                  1.251,                 1.2909,              0.0098015,              0.0098015,              0.0098015
                     11,                 1.4238,                 1.0958,                 1.1628,                0.67506,                0.62268,                0.67299,                0.28411,                 1.9587,                  1.284,                 1.2774,              0.0097553,              0.0097553,              0.0097553
                     12,                 1.4055,                 1.0691,                 1.1509,                0.64844,                0.65304,                0.66055,                0.27752,                 1.9601,                 1.2872,                 1.2865,              0.0097044,              0.0097044,              0.0097044
                     13,                 1.3935,                 1.0485,                 1.1429,                0.68373,                0.66502,                 0.6575,                0.28053,                 1.9529,                 1.2326,                 1.2666,              0.0096489,              0.0096489,              0.0096489
                     14,                 1.3709,                 1.0273,                 1.1307,                0.71681,                0.65069,                0.68397,                0.28094,                 1.9797,                 1.2626,                 1.2904,              0.0095888,              0.0095888,              0.0095888
                     15,                 1.3622,                 1.0133,                 1.1347,                0.66271,                0.64988,                0.64323,                0.26342,                 2.0806,                 1.2372,                 1.3588,              0.0095241,              0.0095241,              0.0095241
                     16,                 1.3614,                0.99487,                 1.1204,                 0.7675,                0.63038,                0.69768,                0.30382,                   1.92,                  1.172,                 1.2766,               0.009455,               0.009455,               0.009455
                     17,                  1.358,                0.98551,                  1.125,                0.67281,                0.65186,                0.67479,                0.28658,                  1.962,                 1.3761,                 1.2759,              0.0093815,              0.0093815,              0.0093815
                     18,                 1.3677,                 0.9824,                 1.1256,                0.69972,                 0.6862,                 0.6784,                0.27679,                 2.0576,                 1.1879,                 1.3248,              0.0093037,              0.0093037,              0.0093037
                     19,                 1.3404,                0.96073,                 1.1197,                0.69054,                0.69784,                0.71058,                0.31794,                 1.9225,                 1.2049,                 1.2816,              0.0092216,              0.0092216,              0.0092216
                     20,                  1.345,                0.95135,                 1.1203,                0.77024,                 0.6632,                0.72202,                0.30215,                 1.9631,                  1.175,                 1.2874,              0.0091354,              0.0091354,              0.0091354
                     21,                 1.3409,                0.95517,                 1.1123,                0.67954,                0.68159,                0.70762,                0.30052,                 1.9664,                 1.2196,                 1.2932,              0.0090451,              0.0090451,              0.0090451
                     22,                 1.3348,                  0.945,                 1.1132,                0.75618,                0.71296,                0.75076,                0.31446,                 2.0117,                 1.1136,                 1.3053,              0.0089508,              0.0089508,              0.0089508
                     23,                 1.3136,                0.92817,                 1.1031,                0.73325,                0.63429,                0.67282,                0.28894,                 1.9397,                   1.46,                 1.2786,              0.0088526,              0.0088526,              0.0088526
                     24,                 1.3163,                0.93224,                 1.1075,                0.76014,                0.71882,                0.72813,                0.30428,                 2.0327,                 1.1277,                 1.3308,              0.0087506,              0.0087506,              0.0087506
